Age,Gender,Location_Type,Income_Level,Awareness_of_Mental_Health,Stigma_Level,Perception_of_Therapy,Need_for_Services,Common_Issue,Service_Type,Average_Cost_Per_Session,Affordability_Perception,Platform_Used,User_Satisfaction_Rating,Corporate_Wellness_Program,Government_Initiative_Awareness,NGO_Initiative_Participation,Projected_Market_Growth
55,Female,Urban,Middle,1,High,Neutral,0,Depression,In-Person,1000,Affordable,Talkspace,4,0,0,0,1.642894011
22,Male,Urban,Middle,1,High,Positive,0,Depression,In-Person,1000,Affordable,YourDost,5,0,0,0,5.207185527
41,Female,Semi-Urban,Low,1,Low,Positive,1,Stress,In-Person,500,Affordable,Wysa,1,0,0,0,4.852655369
54,Male,Rural,Middle,1,Moderate,Negative,1,Stress,Online,1500,Expensive,Talkspace,2,1,0,0,5.565198871
20,Male,Urban,Middle,1,Moderate,Neutral,0,Depression,In-Person,750,Expensive,YourDost,4,1,0,1,9.931635883
43,Male,Urban,Low,1,High,Positive,1,Other,Online,1000,Affordable,No Platform Used,2,0,0,0,4.410793971
40,Male,Semi-Urban,High,0,Low,Neutral,1,Anxiety,Online,500,Expensive,Wysa,3,0,1,0,7.61318716
61,Female,Semi-Urban,Low,0,Moderate,Neutral,1,Stress,Online,750,Expensive,YourDost,2,1,1,0,7.795175768
45,Female,Urban,Low,1,Moderate,Positive,0,Stress,Online,500,Expensive,BetterHelp,5,0,1,0,5.890325678
29,Male,Rural,Middle,0,High,Positive,1,Stress,Online,750,Expensive,No Platform Used,4,0,0,1,9.023971228
38,Female,Rural,Low,1,Low,Positive,0,Depression,In-Person,2000,Expensive,YourDost,2,0,0,0,7.236327704
23,Female,Rural,Middle,1,High,Positive,0,Anxiety,Online,500,Affordable,Wysa,3,0,0,1,5.956283711
39,Female,Rural,Middle,1,High,Neutral,1,Stress,In-Person,1000,Affordable,YourDost,1,1,0,1,0.286603107
24,Male,Rural,Low,1,Low,Positive,0,Stress,Online,1000,Affordable,No Platform Used,1,0,1,1,10.54568398
49,Female,Urban,Low,1,Moderate,Neutral,1,Stress,Online,2000,Expensive,YourDost,2,1,0,0,6.284162922
23,Male,Semi-Urban,Low,1,Moderate,Positive,1,Other,Online,750,Expensive,YourDost,3,0,0,0,5.786063491
42,Female,Urban,High,1,Moderate,Positive,0,Stress,In-Person,1000,Affordable,No Platform Used,4,1,1,1,7.84945474
20,Female,Urban,Middle,1,Moderate,Neutral,1,Depression,In-Person,1000,Expensive,Wysa,5,1,0,1,5.594560902
30,Female,Rural,Low,1,High,Positive,1,Anxiety,In-Person,500,Expensive,Wysa,2,1,1,0,9.930317404
22,Female,Urban,Middle,1,Moderate,Positive,1,Stress,Online,1000,Affordable,Wysa,2,0,0,1,8.573957832
49,Female,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,750,Expensive,No Platform Used,5,0,1,0,7.714855723
30,Female,Semi-Urban,Low,1,High,Neutral,1,Other,Online,1000,Affordable,Talkspace,4,1,0,0,3.723288365
35,Female,Urban,Middle,1,Moderate,Neutral,0,Depression,In-Person,500,Expensive,Wysa,1,0,0,0,5.081983642
25,Female,Urban,Middle,1,High,Negative,1,Depression,Online,2000,Affordable,Wysa,4,0,1,0,7.87821167
60,Male,Urban,High,1,Moderate,Positive,0,Anxiety,Online,2000,Expensive,BetterHelp,5,0,0,0,6.315749759
21,Male,Urban,Middle,1,Moderate,Positive,1,Anxiety,In-Person,750,Affordable,BetterHelp,2,1,0,0,9.554565777
18,Female,Urban,Middle,0,Low,Negative,0,Depression,Online,1000,Expensive,BetterHelp,4,1,1,0,7.923124225
32,Male,Urban,Low,1,Low,Positive,1,Anxiety,Online,1500,Expensive,Talkspace,4,0,1,1,7.005320098
29,Male,Semi-Urban,Low,1,High,Neutral,1,Anxiety,Online,500,Affordable,BetterHelp,2,0,1,0,5.943222253
61,Male,Semi-Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,750,Expensive,BetterHelp,1,0,0,0,7.726329695
29,Male,Urban,Low,0,Moderate,Positive,1,Stress,Online,1500,Affordable,BetterHelp,2,0,0,0,7.347122518
26,Male,Urban,Middle,1,High,Neutral,1,Depression,Online,750,Affordable,BetterHelp,3,0,1,0,6.989790685
24,Other,Urban,Middle,1,Moderate,Positive,0,Depression,In-Person,500,Expensive,YourDost,1,0,0,1,8.08418079
59,Female,Urban,Low,1,High,Positive,0,Anxiety,In-Person,2000,Expensive,No Platform Used,1,0,0,1,4.781765651
62,Female,Rural,Middle,1,Moderate,Neutral,0,Stress,Online,750,Expensive,No Platform Used,2,1,0,0,7.078322679
57,Other,Urban,Low,1,Moderate,Positive,1,Stress,Online,1000,Affordable,Wysa,1,0,0,0,4.774361786
26,Female,Semi-Urban,Low,0,Moderate,Positive,1,Depression,Online,1000,Affordable,No Platform Used,5,0,0,0,7.652195396
53,Male,Urban,Low,1,Moderate,Positive,0,Stress,In-Person,1500,Expensive,No Platform Used,1,0,0,1,8.559758277
52,Other,Urban,Middle,0,High,Neutral,0,Depression,Online,2000,Affordable,Wysa,5,0,1,1,7.324393521
21,Female,Semi-Urban,Middle,0,High,Positive,1,Anxiety,Online,2000,Affordable,BetterHelp,3,0,1,0,11.24404573
36,Male,Urban,Middle,1,Moderate,Positive,0,Anxiety,In-Person,2000,Affordable,Wysa,1,1,1,0,6.400532576
50,Male,Urban,Middle,0,Moderate,Neutral,0,Other,Online,1500,Affordable,Wysa,3,1,1,1,7.902260584
58,Female,Urban,Low,1,High,Positive,1,Anxiety,Online,1500,Affordable,Wysa,2,0,0,0,9.435737741
22,Male,Semi-Urban,Low,1,Moderate,Positive,1,Stress,Online,500,Affordable,No Platform Used,1,1,0,0,8.320977739
40,Female,Rural,Low,0,High,Positive,1,Anxiety,In-Person,1500,Expensive,Wysa,1,0,0,1,6.939666509
37,Female,Urban,High,1,Low,Negative,1,Depression,Online,750,Expensive,Talkspace,5,0,0,1,5.900228516
30,Male,Urban,Middle,1,Moderate,Neutral,1,Anxiety,Online,1500,Affordable,No Platform Used,5,0,0,0,5.245557328
23,Male,Urban,Low,1,High,Positive,0,Anxiety,Online,2000,Expensive,No Platform Used,2,0,0,1,6.763826521
34,Male,Urban,Low,0,High,Neutral,1,Stress,Online,1000,Affordable,BetterHelp,2,0,0,0,8.77305898
63,Male,Semi-Urban,Middle,1,High,Neutral,1,Anxiety,Online,1000,Affordable,BetterHelp,4,0,0,1,9.359763122
56,Female,Urban,Middle,1,High,Neutral,1,Depression,Online,2000,Expensive,Wysa,4,0,0,0,10.9581675
47,Female,Urban,High,0,Moderate,Negative,1,Anxiety,In-Person,500,Affordable,Wysa,3,0,0,0,10.00793029
64,Male,Urban,Middle,1,High,Positive,1,Stress,Online,2000,Expensive,YourDost,3,0,0,0,5.938042631
20,Female,Urban,Middle,0,Moderate,Neutral,0,Stress,Online,1500,Affordable,No Platform Used,2,0,0,0,8.500122823
26,Male,Urban,Middle,0,High,Positive,0,Depression,Online,1000,Affordable,No Platform Used,4,0,0,1,4.643848384
44,Male,Urban,Low,1,Moderate,Positive,0,Anxiety,Online,500,Affordable,No Platform Used,2,0,0,0,8.441886292
50,Male,Urban,Middle,1,Moderate,Positive,0,Stress,In-Person,2000,Affordable,Talkspace,3,0,1,0,4.516984652
35,Female,Urban,Middle,1,Moderate,Positive,1,Stress,Online,1000,Affordable,BetterHelp,1,1,0,1,6.874161085
40,Female,Rural,Middle,1,Moderate,Positive,1,Stress,In-Person,500,Expensive,YourDost,2,0,0,0,6.010329005
20,Female,Urban,Middle,0,Moderate,Positive,1,Anxiety,In-Person,1500,Expensive,No Platform Used,1,0,0,0,1.381488281
57,Female,Urban,Middle,1,High,Neutral,1,Stress,In-Person,1000,Expensive,No Platform Used,4,1,1,0,8.617554643
55,Male,Semi-Urban,Low,0,High,Neutral,0,Depression,In-Person,750,Expensive,Talkspace,3,0,1,0,6.302080346
28,Male,Urban,Low,1,Moderate,Positive,0,Stress,Online,1000,Affordable,YourDost,4,1,0,0,9.019694996
26,Female,Semi-Urban,High,1,High,Neutral,1,Anxiety,Online,1000,Expensive,YourDost,1,0,1,1,2.606188911
34,Male,Semi-Urban,Middle,1,High,Positive,1,Stress,Online,1000,Expensive,Talkspace,3,1,0,0,7.71332303
45,Male,Urban,Low,0,Moderate,Positive,1,Stress,Online,1000,Expensive,YourDost,4,0,1,0,7.458460103
19,Male,Urban,Low,1,Low,Positive,0,Stress,Online,1500,Expensive,No Platform Used,4,0,1,0,6.220196347
28,Female,Semi-Urban,High,1,Moderate,Neutral,1,Depression,Online,1000,Expensive,Wysa,3,0,1,0,4.584142713
28,Male,Urban,Low,0,Low,Positive,1,Depression,Online,750,Expensive,Talkspace,1,0,0,0,5.584939704
38,Female,Urban,Middle,1,High,Neutral,1,Anxiety,Online,1000,Expensive,YourDost,3,1,1,0,9.122690194
49,Male,Urban,Middle,1,Moderate,Positive,0,Anxiety,In-Person,750,Affordable,No Platform Used,2,0,0,0,6.643866826
63,Male,Urban,High,1,Moderate,Negative,1,Depression,Online,1500,Expensive,No Platform Used,4,0,0,0,6.398803413
35,Male,Rural,Low,1,Moderate,Negative,0,Stress,Online,750,Affordable,Wysa,3,1,1,0,5.037284613
51,Male,Urban,Middle,1,Moderate,Positive,1,Other,Online,1500,Affordable,Wysa,5,0,0,0,11.36323312
52,Female,Rural,Middle,1,Moderate,Positive,0,Anxiety,In-Person,1500,Expensive,Wysa,5,0,0,1,6.477063104
54,Male,Rural,Low,1,High,Neutral,1,Stress,In-Person,1500,Expensive,Talkspace,4,0,0,0,6.807018914
62,Female,Semi-Urban,Middle,1,High,Positive,1,Anxiety,In-Person,1000,Expensive,Wysa,4,0,0,0,3.463008477
37,Male,Urban,Middle,0,Moderate,Positive,1,Stress,Online,1500,Affordable,Wysa,1,1,1,0,10.27549544
29,Male,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,1000,Expensive,No Platform Used,5,0,1,0,6.586277791
52,Female,Rural,Low,1,High,Positive,1,Anxiety,Online,1000,Affordable,BetterHelp,3,0,1,0,11.24347839
18,Male,Urban,Low,1,High,Neutral,1,Anxiety,In-Person,1000,Expensive,BetterHelp,5,0,0,1,8.289888772
64,Female,Rural,Middle,1,Low,Positive,1,Stress,Online,500,Affordable,Wysa,2,1,0,0,3.678215466
55,Male,Rural,Middle,1,Moderate,Positive,1,Stress,Online,1000,Affordable,Wysa,1,1,0,0,4.647334498
35,Male,Urban,Middle,0,Moderate,Positive,1,Anxiety,Online,1000,Expensive,YourDost,1,1,1,1,12.77225652
31,Female,Rural,Low,1,Low,Neutral,1,Stress,In-Person,1500,Expensive,No Platform Used,2,0,0,1,3.227541889
31,Male,Semi-Urban,Low,1,Low,Positive,0,Other,In-Person,1000,Affordable,No Platform Used,1,0,0,0,3.817108895
30,Male,Urban,Low,0,Low,Neutral,0,Anxiety,Online,1500,Affordable,No Platform Used,2,1,1,0,8.52733574
22,Male,Urban,Low,1,Low,Positive,1,Stress,In-Person,2000,Expensive,Wysa,1,0,1,0,5.146741665
64,Female,Urban,Low,1,Moderate,Positive,0,Depression,In-Person,750,Affordable,Wysa,5,0,1,0,5.076386656
30,Female,Semi-Urban,Middle,1,Low,Negative,0,Stress,Online,750,Affordable,YourDost,5,1,1,1,8.38114638
48,Female,Rural,Middle,1,Moderate,Neutral,1,Depression,In-Person,500,Expensive,YourDost,3,0,1,0,7.393016281
55,Other,Urban,Low,1,Low,Positive,1,Depression,In-Person,500,Affordable,Wysa,1,0,1,0,8.323144616
27,Male,Urban,Middle,1,Moderate,Neutral,1,Other,In-Person,750,Affordable,No Platform Used,2,0,1,0,6.464416223
35,Male,Rural,Middle,0,Moderate,Positive,1,Stress,Online,1500,Expensive,Talkspace,4,0,0,0,6.58127658
45,Female,Semi-Urban,Low,1,Moderate,Positive,1,Anxiety,Online,2000,Affordable,No Platform Used,4,0,0,0,5.610392725
50,Female,Semi-Urban,Low,0,Moderate,Positive,1,Depression,Online,1500,Affordable,YourDost,1,1,1,1,5.110497615
49,Female,Urban,Middle,1,Moderate,Neutral,0,Stress,In-Person,2000,Affordable,BetterHelp,1,0,1,1,7.20456295
43,Male,Rural,Low,1,High,Neutral,1,Anxiety,Online,2000,Affordable,No Platform Used,5,1,1,1,5.000676651
18,Male,Urban,Middle,1,Moderate,Positive,0,Depression,Online,750,Affordable,BetterHelp,2,0,0,0,6.417520639
62,Other,Rural,Middle,1,Moderate,Positive,0,Anxiety,Online,1000,Affordable,No Platform Used,1,0,0,0,4.078237512
61,Female,Urban,Low,1,Moderate,Neutral,1,Depression,Online,1500,Affordable,No Platform Used,2,0,0,0,10.18361523
32,Male,Urban,High,1,Low,Positive,1,Anxiety,In-Person,500,Affordable,No Platform Used,3,0,0,0,8.557238438
62,Female,Rural,Low,1,Moderate,Positive,0,Depression,In-Person,500,Affordable,YourDost,4,0,0,0,4.538403888
64,Female,Semi-Urban,High,1,Moderate,Negative,0,Anxiety,Online,750,Expensive,No Platform Used,2,0,0,0,5.019207508
38,Female,Urban,Middle,1,Moderate,Neutral,0,Other,In-Person,2000,Expensive,Talkspace,1,0,0,1,8.425937713
25,Female,Urban,Middle,0,High,Positive,1,Other,Online,1500,Expensive,No Platform Used,4,0,1,1,9.40290788
59,Male,Semi-Urban,Low,0,Moderate,Positive,1,Other,Online,500,Expensive,No Platform Used,1,0,1,1,4.642493855
42,Female,Urban,Middle,1,Moderate,Neutral,0,Anxiety,Online,1500,Expensive,Wysa,2,0,0,0,7.132751145
57,Male,Urban,Middle,1,Moderate,Neutral,0,Stress,Online,1000,Affordable,YourDost,5,0,0,0,4.840302937
64,Other,Semi-Urban,Low,1,Low,Neutral,1,Depression,Online,1500,Expensive,YourDost,3,1,0,1,6.688848745
23,Female,Urban,Middle,1,Moderate,Positive,1,Depression,Online,750,Expensive,No Platform Used,1,0,0,0,7.842423354
63,Other,Urban,Middle,1,High,Positive,1,Depression,Online,750,Affordable,Wysa,4,0,0,0,11.14616144
45,Female,Urban,Middle,1,High,Positive,0,Anxiety,Online,1000,Expensive,YourDost,2,0,1,0,10.28621695
22,Other,Semi-Urban,High,1,High,Neutral,1,Stress,Online,750,Expensive,Wysa,1,1,0,1,4.316461777
56,Male,Rural,Low,0,Moderate,Neutral,0,Stress,In-Person,2000,Affordable,No Platform Used,3,0,0,0,5.924310567
43,Male,Semi-Urban,Middle,1,Low,Positive,0,Anxiety,Online,500,Expensive,Wysa,5,1,1,0,6.655340371
63,Male,Urban,High,1,High,Positive,1,Depression,Online,2000,Expensive,Talkspace,3,1,0,1,8.000466128
39,Female,Rural,Low,1,Low,Neutral,1,Anxiety,In-Person,2000,Expensive,No Platform Used,5,0,0,0,9.212435049
29,Female,Urban,Low,1,Moderate,Neutral,0,Anxiety,Online,1500,Affordable,Wysa,3,0,0,1,3.890605826
49,Female,Rural,Low,1,Low,Neutral,0,Stress,Online,500,Affordable,No Platform Used,1,0,0,0,8.095887393
48,Male,Urban,High,1,Moderate,Neutral,0,Anxiety,Online,750,Expensive,Wysa,2,1,0,1,7.647246434
58,Female,Semi-Urban,Middle,1,Low,Positive,1,Stress,Online,1000,Expensive,No Platform Used,4,0,1,0,5.259337734
64,Female,Rural,Low,1,Moderate,Positive,1,Stress,In-Person,2000,Affordable,YourDost,2,1,1,0,6.046954948
58,Female,Rural,Low,1,High,Positive,1,Anxiety,In-Person,500,Affordable,YourDost,3,0,0,1,8.085684551
18,Male,Urban,Low,1,High,Neutral,0,Depression,Online,1500,Affordable,Talkspace,2,0,1,1,7.327772841
42,Female,Urban,Low,1,High,Positive,0,Stress,Online,1000,Expensive,BetterHelp,2,0,1,0,10.83699419
28,Female,Urban,Low,0,Moderate,Negative,1,Stress,Online,2000,Affordable,No Platform Used,3,0,0,0,5.628858981
20,Male,Rural,Low,1,High,Neutral,1,Anxiety,Online,1000,Expensive,YourDost,5,0,0,0,6.508776996
57,Female,Semi-Urban,Low,0,High,Positive,0,Other,Online,750,Expensive,No Platform Used,1,0,1,1,2.471401899
55,Male,Semi-Urban,Middle,1,Moderate,Positive,1,Depression,Online,750,Expensive,YourDost,3,0,1,1,6.507113961
60,Female,Urban,Low,0,Moderate,Negative,0,Anxiety,In-Person,500,Affordable,Talkspace,3,1,0,1,6.61563054
22,Male,Urban,Low,1,High,Positive,0,Depression,Online,750,Affordable,Talkspace,3,1,1,0,6.854947554
40,Female,Rural,Low,1,Moderate,Neutral,1,Depression,Online,500,Affordable,BetterHelp,1,1,0,0,8.18046123
51,Female,Urban,Low,1,Moderate,Positive,1,Stress,Online,500,Expensive,BetterHelp,5,0,0,0,5.116184414
21,Male,Semi-Urban,Middle,0,Low,Positive,0,Stress,Online,1500,Expensive,Wysa,5,1,1,0,7.312595323
22,Female,Urban,Low,1,High,Neutral,1,Stress,In-Person,750,Affordable,No Platform Used,1,0,1,1,7.68890455
25,Female,Semi-Urban,Low,1,Moderate,Positive,1,Anxiety,Online,2000,Affordable,No Platform Used,2,0,0,0,6.552999278
55,Male,Urban,Middle,0,Low,Positive,0,Stress,Online,1000,Affordable,No Platform Used,2,0,0,0,6.957886476
54,Female,Semi-Urban,High,1,Moderate,Positive,1,Depression,In-Person,1000,Affordable,Talkspace,3,1,0,0,6.643233859
26,Female,Semi-Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,1500,Expensive,Wysa,1,0,0,0,3.065119877
52,Male,Urban,Middle,0,High,Positive,0,Anxiety,Online,1500,Affordable,No Platform Used,2,0,1,0,7.266158657
50,Male,Urban,Middle,1,Moderate,Positive,1,Stress,Online,1500,Affordable,Wysa,1,0,0,0,7.821615097
56,Male,Urban,Middle,1,Low,Neutral,0,Stress,In-Person,750,Affordable,YourDost,3,0,1,0,6.715990477
52,Female,Semi-Urban,Low,1,Moderate,Positive,0,Anxiety,Online,750,Affordable,Talkspace,4,0,0,0,3.303195809
63,Female,Urban,High,1,Moderate,Neutral,1,Depression,Online,1500,Expensive,Talkspace,5,0,0,0,10.45592593
33,Female,Urban,Middle,1,Low,Positive,1,Depression,Online,750,Affordable,YourDost,4,0,1,1,7.000834461
20,Male,Rural,Middle,1,High,Positive,1,Depression,Online,750,Expensive,Wysa,1,1,0,1,7.231084129
18,Male,Semi-Urban,Middle,1,Moderate,Positive,0,Stress,In-Person,750,Affordable,BetterHelp,4,0,1,0,6.178407403
42,Male,Urban,Low,1,Low,Positive,0,Anxiety,Online,1500,Expensive,No Platform Used,3,0,0,0,3.393887938
29,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,1000,Affordable,Wysa,5,0,0,0,7.771985132
21,Female,Semi-Urban,Low,0,High,Positive,0,Anxiety,Online,2000,Affordable,YourDost,4,1,1,0,4.991634336
46,Male,Semi-Urban,Low,1,Low,Positive,1,Stress,Online,2000,Affordable,No Platform Used,3,0,1,0,7.090876237
61,Female,Urban,Middle,1,High,Neutral,1,Stress,Online,1500,Expensive,BetterHelp,4,0,0,0,11.94932494
37,Male,Rural,Middle,0,High,Neutral,0,Anxiety,In-Person,1500,Affordable,Wysa,1,1,0,0,7.567852847
37,Male,Urban,Low,0,Moderate,Neutral,1,Depression,Online,2000,Affordable,Wysa,1,0,1,1,9.484384479
51,Male,Urban,Middle,1,Moderate,Positive,0,Stress,In-Person,2000,Expensive,BetterHelp,2,0,1,0,7.323062182
43,Male,Urban,Low,0,High,Positive,0,Anxiety,Online,500,Expensive,YourDost,4,0,0,1,7.534597945
58,Female,Urban,High,1,Moderate,Positive,1,Stress,Online,1000,Expensive,BetterHelp,2,1,0,0,6.708756081
49,Male,Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,750,Expensive,Talkspace,2,0,1,0,7.994795414
62,Female,Rural,Low,1,Moderate,Positive,1,Depression,Online,500,Expensive,Wysa,3,0,1,0,11.36719022
56,Male,Urban,Low,1,Moderate,Positive,0,Other,Online,1500,Expensive,BetterHelp,2,0,1,0,4.242891588
20,Female,Urban,Middle,0,High,Positive,1,Stress,In-Person,1000,Affordable,Wysa,5,1,0,0,6.79377684
63,Male,Urban,Low,0,High,Neutral,1,Anxiety,Online,1500,Expensive,Talkspace,1,0,0,0,7.766470223
27,Male,Urban,Middle,0,Low,Positive,0,Anxiety,Online,2000,Expensive,Talkspace,5,1,1,1,6.985153171
41,Male,Urban,High,1,Moderate,Neutral,0,Anxiety,Online,2000,Expensive,YourDost,1,0,1,1,4.956294368
46,Male,Semi-Urban,Low,0,Low,Positive,0,Stress,Online,500,Affordable,Talkspace,2,1,1,0,5.300121688
28,Female,Urban,Low,1,Moderate,Negative,1,Anxiety,Online,1000,Expensive,No Platform Used,1,0,0,0,5.525275015
35,Other,Urban,Middle,0,High,Positive,1,Anxiety,Online,1000,Affordable,YourDost,2,0,0,0,6.20652025
37,Other,Urban,Low,1,High,Positive,0,Stress,Online,750,Affordable,YourDost,1,0,1,0,5.572829154
35,Male,Semi-Urban,Middle,1,High,Neutral,0,Stress,Online,2000,Affordable,No Platform Used,1,0,0,0,6.789261655
41,Male,Rural,High,1,High,Positive,1,Depression,Online,500,Affordable,No Platform Used,2,0,1,0,7.107650001
61,Female,Semi-Urban,Low,1,Moderate,Negative,0,Stress,In-Person,2000,Expensive,No Platform Used,1,0,0,0,7.413341922
40,Female,Urban,Low,1,High,Neutral,0,Anxiety,Online,1000,Expensive,Talkspace,5,0,1,1,8.290894422
19,Female,Rural,Middle,1,Moderate,Neutral,1,Depression,Online,1500,Expensive,YourDost,3,0,1,0,8.115462939
54,Male,Urban,Middle,0,Moderate,Positive,1,Anxiety,In-Person,750,Affordable,YourDost,4,0,0,0,5.76278635
29,Female,Rural,Middle,1,Moderate,Neutral,0,Depression,Online,750,Expensive,BetterHelp,3,0,0,0,8.313250777
24,Female,Rural,Middle,0,Moderate,Neutral,0,Other,Online,1000,Affordable,No Platform Used,4,1,0,0,7.36738381
47,Male,Urban,Middle,1,Moderate,Positive,1,Depression,In-Person,750,Expensive,BetterHelp,5,0,0,0,8.781485434
36,Male,Urban,Middle,1,High,Positive,0,Depression,Online,1000,Expensive,Talkspace,3,0,1,0,6.753352638
34,Male,Semi-Urban,Middle,1,High,Neutral,0,Stress,In-Person,1000,Affordable,No Platform Used,4,0,1,0,8.984300962
48,Male,Urban,Middle,1,High,Neutral,1,Other,Online,2000,Affordable,Wysa,3,0,0,1,5.805802296
60,Male,Rural,Low,1,Moderate,Positive,1,Depression,In-Person,2000,Affordable,YourDost,2,0,0,0,7.591194733
30,Female,Rural,Low,0,Low,Neutral,1,Anxiety,Online,1500,Affordable,BetterHelp,3,1,1,0,7.386138412
38,Male,Semi-Urban,High,1,Moderate,Positive,1,Other,Online,1500,Affordable,BetterHelp,4,0,1,0,7.797688663
18,Male,Urban,Low,1,Moderate,Neutral,0,Depression,In-Person,500,Affordable,Talkspace,4,1,0,0,3.942500339
26,Male,Urban,Low,1,High,Positive,0,Anxiety,Online,2000,Affordable,YourDost,2,1,0,0,9.535258181
47,Other,Urban,Middle,1,Low,Positive,1,Stress,In-Person,1000,Affordable,Wysa,3,0,0,0,7.150701217
47,Male,Urban,Middle,0,High,Positive,1,Anxiety,Online,1000,Expensive,Wysa,3,1,0,0,7.359334056
20,Female,Urban,Low,1,Moderate,Positive,1,Anxiety,Online,750,Affordable,BetterHelp,1,0,1,1,7.706419353
37,Male,Semi-Urban,Middle,1,High,Neutral,1,Stress,Online,1500,Expensive,Wysa,2,0,1,0,2.056303191
23,Female,Urban,Low,0,Moderate,Neutral,0,Anxiety,Online,1000,Expensive,No Platform Used,2,0,0,1,5.96769989
48,Female,Rural,Low,1,Moderate,Neutral,0,Other,Online,750,Expensive,Wysa,1,1,0,1,6.187825617
59,Male,Semi-Urban,Low,1,Moderate,Neutral,1,Anxiety,Online,1500,Expensive,YourDost,2,1,1,1,6.614726214
57,Male,Semi-Urban,Low,1,Moderate,Neutral,1,Other,In-Person,1000,Expensive,YourDost,3,0,1,1,6.454183726
42,Male,Rural,Middle,1,Moderate,Negative,1,Depression,Online,1000,Affordable,BetterHelp,2,0,0,1,7.93095646
24,Male,Semi-Urban,Middle,1,Moderate,Neutral,1,Stress,Online,750,Expensive,Talkspace,4,0,1,0,9.699324324
31,Male,Urban,Middle,1,High,Neutral,1,Anxiety,In-Person,1000,Expensive,BetterHelp,4,0,0,0,7.767661521
35,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Other,Online,1000,Expensive,BetterHelp,1,1,0,1,7.325550137
41,Male,Semi-Urban,Middle,1,Moderate,Neutral,1,Anxiety,Online,2000,Expensive,No Platform Used,2,0,1,1,8.873579821
18,Female,Urban,Middle,1,High,Positive,1,Stress,In-Person,1000,Expensive,BetterHelp,3,0,1,0,7.955797907
48,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,750,Expensive,BetterHelp,3,0,1,0,6.80081349
31,Female,Rural,Low,1,Moderate,Neutral,1,Stress,Online,2000,Affordable,BetterHelp,2,0,1,0,8.102971177
31,Male,Urban,High,0,Moderate,Negative,0,Stress,In-Person,500,Affordable,BetterHelp,4,0,1,1,9.382781315
30,Female,Rural,Middle,0,Moderate,Negative,1,Stress,In-Person,1500,Affordable,YourDost,1,0,0,0,7.802373333
51,Female,Semi-Urban,Middle,0,Moderate,Positive,1,Depression,Online,1500,Affordable,No Platform Used,5,1,0,0,7.915201315
49,Male,Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,500,Expensive,No Platform Used,4,1,0,0,2.814813026
20,Male,Semi-Urban,Low,1,High,Positive,0,Anxiety,Online,1000,Expensive,Wysa,3,1,0,0,4.856482365
27,Male,Urban,Middle,0,Moderate,Neutral,1,Other,Online,750,Affordable,Wysa,3,0,0,0,5.856106834
60,Male,Urban,Middle,0,Moderate,Neutral,1,Stress,Online,1000,Affordable,YourDost,4,1,1,0,10.39112754
29,Male,Urban,Low,1,Moderate,Neutral,0,Stress,In-Person,2000,Expensive,BetterHelp,4,0,1,1,8.173536851
52,Female,Semi-Urban,Low,0,Moderate,Neutral,1,Anxiety,Online,1500,Expensive,No Platform Used,3,1,1,0,7.63365168
50,Female,Urban,Middle,1,High,Negative,0,Anxiety,Online,2000,Affordable,Talkspace,4,1,0,0,9.357028501
21,Female,Rural,Middle,1,High,Neutral,1,Anxiety,Online,500,Affordable,No Platform Used,2,0,0,0,5.960090193
18,Female,Rural,Low,1,Moderate,Neutral,1,Anxiety,Online,1000,Affordable,BetterHelp,4,0,1,0,8.803294801
34,Female,Urban,Low,1,Low,Negative,1,Depression,Online,500,Affordable,YourDost,2,0,0,0,6.364768917
33,Male,Semi-Urban,High,1,Low,Neutral,1,Stress,In-Person,2000,Expensive,No Platform Used,5,0,0,1,6.383662493
35,Male,Rural,Middle,1,Low,Neutral,0,Depression,In-Person,500,Affordable,YourDost,2,0,1,0,11.34998059
41,Female,Urban,Low,0,High,Positive,1,Depression,Online,1500,Expensive,Talkspace,4,1,1,1,4.560996162
39,Female,Urban,Middle,1,Moderate,Negative,1,Anxiety,Online,750,Expensive,Wysa,2,1,1,1,9.126010971
55,Female,Urban,Middle,1,Low,Positive,0,Stress,Online,2000,Affordable,No Platform Used,4,0,0,0,6.818589549
48,Female,Rural,Low,1,High,Neutral,0,Anxiety,Online,1500,Affordable,YourDost,2,0,0,0,5.997137085
48,Female,Urban,Middle,0,Low,Positive,1,Anxiety,Online,2000,Affordable,No Platform Used,4,0,0,0,7.504257716
47,Male,Urban,High,1,Low,Positive,1,Depression,Online,2000,Affordable,YourDost,1,0,0,0,5.425364773
41,Female,Rural,Middle,1,Moderate,Negative,0,Anxiety,Online,1000,Expensive,No Platform Used,4,0,0,0,8.346020626
55,Female,Urban,Middle,1,High,Neutral,0,Other,In-Person,750,Affordable,BetterHelp,4,1,0,1,3.470523477
